t,y
1,1.77
1.0014,1.77805
1.0028,1.7861
1.0042,1.79414
1.0056,1.80219
1.007,1.81024
1.0084,1.81829
1.0098,1.82634
1.0112,1.83439
1.0126,1.84244
1.014,1.85049
1.0154,1.85854
1.0168,1.86658
1.0182,1.87463
1.0196,1.88268
1.021,1.89073
1.0224,1.89878
1.0238,1.90683
1.0252,1.91488
1.0266,1.92293
1.028,1.93097
1.0294,1.93902
1.0308,1.94707
1.0322,1.95512
1.0336,1.96317
1.035,1.97122
1.0364,1.97927
1.0378,1.98732
1.0392,1.99537
1.0406,2.00341
1.042,2.01146
1.0434,2.01951
1.0448,2.02756
1.0462,2.03561
1.0476,2.04366
1.049,2.05171
1.0504,2.05976
1.0518,2.0678
1.0532,2.07585
1.0546,2.0839
1.056,2.09195
1.0574,2.1
1.0588,2.10805
1.0602,2.1161
1.0616,2.12415
1.063,2.1322
1.0644,2.14024
1.0658,2.14829
1.0672,2.15634
1.0686,2.16439
1.07,2.17244
1.0714,2.18049
1.0728,2.18854
1.0742,2.19659
1.0756,2.20464
1.077,2.21268
1.0784,2.22073
1.0798,2.22878
1.0812,2.23683
1.0826,2.24488
1.084,2.25293
1.0854,2.26098
1.0868,2.26903
1.0882,2.27707
1.0896,2.28512
1.091,2.29317
1.0924,2.30122
1.0938,2.30927
1.0952,2.31732
1.0966,2.32537
1.098,2.33342
1.0994,2.34147
1.1008,2.34951
1.1022,2.35756
1.1036,2.36561
1.105,2.37366
1.1064,2.38171
1.1078,2.38976
1.1092,2.39781
1.1106,2.40586
1.112,2.4139
1.1134,2.42195
1.1148,2.43
1.1162,2.43805
1.1176,2.4461
1.119,2.45415
1.1204,2.4622
1.1218,2.47025
1.1232,2.4783
1.1246,2.48634
1.126,2.49439
1.1274,2.50244
1.1288,2.51049
1.1302,2.51854
1.1316,2.52659
1.133,2.53464
1.1344,2.54269
1.1358,2.55074
1.1372,2.55878
1.1386,2.56683
1.14,2.57488
1.1414,2.58293
1.1428,2.59098
1.1442,2.59903
1.1456,2.60708
1.147,2.61513
1.1484,2.62317
1.1498,2.63122
1.1512,2.63927
1.1526,2.64732
1.154,2.65537
1.1554,2.66342
1.1568,2.67147
1.1582,2.67952
1.1596,2.68757
1.161,2.69561
1.1624,2.70366
1.1638,2.71171
1.1652,2.71976
1.1666,2.72781
1.168,2.73586
1.1694,2.74391
1.1708,2.75196
1.1722,2.76
1.1736,2.76805
1.175,2.7761
1.1764,2.78415
1.1778,2.7922
1.1792,2.80025
1.1806,2.8083
1.182,2.81635
1.1834,2.8244
1.1848,2.83244
1.1862,2.84049
1.1876,2.84854
1.189,2.85659
1.1904,2.86464
1.1918,2.87269
1.1932,2.88074
1.1946,2.88879
1.196,2.89684
1.1974,2.90488
1.1988,2.91293
1.2002,2.92098
1.2016,2.92903
1.203,2.93708
1.2044,2.94513
1.2058,2.95318
1.2072,2.96123
1.2086,2.96927
1.21,2.97732
1.2114,2.98537
1.2128,2.99342
1.2142,3.00147
1.2156,3.00952
1.217,3.01757
1.2184,3.02562
1.2198,3.03367
1.2212,3.04171
1.2226,3.04976
1.224,3.05781
1.2254,3.06586
1.2268,3.07391
1.2282,3.08196
1.2296,3.09001
1.231,3.09806
1.2324,3.1061
1.2338,3.11415
1.2352,3.1222
1.2366,3.13025
1.238,3.1383
1.2394,3.14635
1.2408,3.1544
1.2422,3.16245
1.2436,3.1705
1.245,3.17854
1.2464,3.18659
1.2478,3.19464
1.2492,3.20269
1.2506,3.21074
1.252,3.21879
1.2534,3.22684
1.2548,3.23489
1.2562,3.24294
1.2576,3.25098
1.259,3.25903
1.2604,3.26708
1.2618,3.27513
1.2632,3.28318
1.2646,3.29123
1.266,3.29928
1.2674,3.30733
1.2688,3.31537
1.2702,3.32342
1.2716,3.33147
1.273,3.33952
1.2744,3.34757
1.2758,3.35562
1.2772,3.36367
1.2786,3.37172
1.28,3.37977
1.2814,3.38781
1.2828,3.39586
1.2842,3.40391
1.2856,3.41196
1.287,3.42001
1.2884,3.42806
1.2898,3.43611
1.2912,3.44416
1.2926,3.4522
1.294,3.46025
1.2954,3.4683
1.2968,3.47635
1.2982,3.4844
1.2996,3.49245
1.301,3.5005
1.3024,3.50855
1.3038,3.5166
1.3052,3.52464
1.3066,3.53269
1.308,3.54074
1.3094,3.54879
1.3108,3.55684
1.3122,3.56489
1.3136,3.57294
1.315,3.58099
1.3164,3.58904
1.3178,3.59708
1.3192,3.60513
1.3206,3.61318
1.322,3.62123
1.3234,3.62928
1.3248,3.63733
1.3262,3.64538
1.3276,3.65343
1.329,3.66147
1.3304,3.66952
1.3318,3.67757
1.3332,3.68562
1.3346,3.69367
1.336,3.70172
1.3374,3.70977
1.3388,3.71782
1.3402,3.72587
1.3416,3.73391
1.343,3.74196
1.3444,3.75001
1.3458,3.75806
1.3472,3.76611
1.3486,3.77416
1.35,3.78221
1.3514,3.79026
1.3528,3.7983
1.3542,3.80635
1.3556,3.8144
1.357,3.82245
1.3584,3.8305
1.3598,3.83855
1.3612,3.8466
1.3626,3.85465
1.364,3.8627
1.3654,3.87074
1.3668,3.87879
1.3682,3.88684
1.3696,3.89489
1.371,3.90294
1.3724,3.91099
1.3738,3.91904
1.3752,3.92709
1.3766,3.93513
1.378,3.94318
1.3794,3.95123
1.3808,3.95928
1.3822,3.96733
1.3836,3.97538
1.385,3.98343
1.3864,3.99148
1.3878,3.99953
1.3892,4.00757
1.3906,4.01562
1.392,4.02367
1.3934,4.03172
1.3948,4.03977
1.3962,4.04782
1.3976,4.05587
1.399,4.06392
1.4004,4.07197
1.4018,4.08001
1.4032,4.08806
1.4046,4.09611
1.406,4.10416
1.4074,4.11221
1.4088,4.12026
1.4102,4.12831
1.4116,4.13636
1.413,4.1444
1.4144,4.15245
1.4158,4.1605
1.4172,4.16855
1.4186,4.1766
1.42,4.18465
1.4214,4.1927
1.4228,4.20075
1.4242,4.2088
1.4256,4.21684
1.427,4.22489
1.4284,4.23294
1.4298,4.24099
1.4312,4.24904
1.4326,4.25709
1.434,4.26514
1.4354,4.27319
1.4368,4.28123
1.4382,4.28928
1.4396,4.29733
1.441,4.30538
1.4424,4.31343
1.4438,4.32148
1.4452,4.32953
1.4466,4.33758
1.448,4.34563
1.4494,4.35367
1.4508,4.36172
1.4522,4.36977
1.4536,4.37782
1.455,4.38587
1.4564,4.39392
1.4578,4.40197
1.4592,4.41002
1.4606,4.41807
1.462,4.42611
1.4634,4.43416
1.4648,4.44221
1.4662,4.45026
1.4676,4.45831
1.469,4.46636
1.4704,4.47441
1.4718,4.48246
1.4732,4.4905
1.4746,4.49855
1.476,4.5066
1.4774,4.51465
1.4788,4.5227
1.4802,4.53075
1.4816,4.5388
1.483,4.54685
1.4844,4.5549
1.4858,4.56294
1.4872,4.57099
1.4886,4.57904
1.49,4.58709
1.4914,4.59514
1.4928,4.60319
1.4942,4.61124
1.4956,4.61929
1.497,4.62733
1.4984,4.63538
1.4998,4.64343
1.5012,4.65148
1.5026,4.65953
1.504,4.66758
1.5054,4.67563
1.5068,4.68368
1.5082,4.69173
1.5096,4.69977
1.511,4.70782
1.5124,4.71587
1.5138,4.72392
1.5152,4.73197
1.5166,4.74002
1.518,4.74807
1.5194,4.75612
1.5208,4.76417
1.5222,4.77221
